"39988;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"39992;TRACK TOUR;TRACK TOUR;RE"
"39993;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40027;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"40069;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"40087;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40088;LANDING LONG;TRACK TOUR | LANDING LONG;RE"
"40089;FLIGHT CONTROL IN LOSS;FLIGHT CONTROL IN LOSS;LOC-I"
"40107;COLLISION WITH OBSTACLE FOR TAKEOFF AND LANDING;COLLISION WITH OBSTACLE FOR TAKEOFF AND LANDING;CTOL"
"40147;TRACK TOUR;TRACK TOUR;RE"
"40147;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40148;LACK OF FUEL;FUEL | LACK OF FUEL;FUEL"
"40149;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40150;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40168;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40170;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"40171;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40190;OTHERS;OTHERS;OTHR"
"40207;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40209;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40210;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40211;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40212;FAILURE OF MOTOR GROUND;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF MOTOR GROUND;SCF-PP"
"40213;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40214;LANDING IN PLACE NOT PROVIDED;OTHER | LANDING IN PLACE NOT PROVIDED;OTHR"
"40215;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40227;LEAK OTHER FLUIDS;OTHER | LEAK OTHER FLUIDS;OTHR"
"40228;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40247;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"40248;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"40250;FLIGHT CONTROL IN LOSS;FLIGHT CONTROL IN LOSS;LOC-I"
"40251;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40258;COLLISION WITH OBSTACLES IN SOIL;COLLISION IN SOIL | COLLISION WITH OBSTACLES IN SOIL;GCOL"
"40260;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40261;LANDING FLICKERLESS;CONTACT FREAK WITH TRACK | LANDING FLICKERLESS;ARC"
"40262;COLLISION WITH OBSTACLES IN SOIL;COLLISION IN SOIL | COLLISION WITH OBSTACLES IN SOIL;GCOL"
"40264;LANDING IN PLACE NOT PROVIDED;OTHER | LANDING IN PLACE NOT PROVIDED;OTHR"
"40267;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40269;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40269;TRACK TOUR;TRACK TOUR;RE"
"40270;FIRE IN SOIL;FIRE / SMOKE (SEM IMPACT) | FIRE IN SOIL;F-NI"
"40271;FLIGHT CONTROL IN LOSS;FLIGHT CONTROL IN LOSS;LOC-I"
"40273;WITH TO SCREEN / WINDOW / DOOR;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH TO SCREEN / WINDOW / DOOR;SCF-NP"
"40275;OTHERS;OTHERS;OTHR"
"40287;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40288;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40290;OTHERS;OTHERS;OTHR"
"40291;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40292;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40293;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40294;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40295;OTHERS;OTHERS;OTHR"
"40296;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40307;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"40310;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40311;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40312;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40314;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40316;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40318;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40320;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40321;OTHERS;OTHERS;OTHR"
"40322;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40323;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40324;OTHERS;OTHERS;OTHR"
"40325;LANDING IN PLACE NOT PROVIDED;OTHER | LANDING IN PLACE NOT PROVIDED;OTHR"
"40326;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40327;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40328;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"40329;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"40330;OTHERS;OTHERS;OTHR"
"40331;CAUSED BY WEATHER PHENOMENON IN FLIGHT;OTHER | CAUSED BY WEATHER PHENOMENON IN FLIGHT;OTHR"
"40332;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40349;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40350;LACK OF FUEL;FUEL | LACK OF FUEL;FUEL"
"40351;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40352;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40412;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40413;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40414;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40447;INDETERMINATE;INDETERMINATE;UNK"
"40489;LEAK OTHER FLUIDS;OTHER | LEAK OTHER FLUIDS;OTHR"
"40508;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40554;FLIGHT CONTROL IN LOSS;FLIGHT CONTROL IN LOSS;LOC-I"
"40572;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40573;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40575;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"40576;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40577;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40579;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40581;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"40583;COMPONENT OF LOSS IN SOIL;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | COMPONENT OF LOSS IN SOIL;SCF-NP"
"40617;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40620;RELIEF NOT INTENTIONAL / EXPLOSIVE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | RELIEF NOT INTENTIONAL / EXPLOSIVE;SCF-NP"
"40621;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40622;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40623;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40624;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"40652;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"40732;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40774;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40791;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40793;TRACK TOUR;TRACK TOUR;RE"
"40793;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40819;WITH TO SCREEN / WINDOW / DOOR;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH TO SCREEN / WINDOW / DOOR;SCF-NP"
"40821;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40823;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"40825;BLOWING REACTOR;OTHER | BLOWING REACTOR;OTHR"
"40826;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40827;AIR TRAFFIC;SEPARATION OF LOSS / COLLISION IN FLIGHT | AIR TRAFFIC;MAC"
"40834;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40835;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"40837;LOSS ON FLYING COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | LOSS ON FLYING COMPONENT;SCF-NP"
"40839;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40842;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"40843;OTHERS;OTHERS;OTHR"
"40853;WITH FLIGHT CONTROLS;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH FLIGHT CONTROLS;SCF-NP"
"40855;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"40933;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41053;CONTROLLED FLYING AGAINST LAND;CONTROLLED FLYING AGAINST LAND;CFIT"
"41054;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"41132;OTHERS;OTHERS;OTHR"
"41155;TRACK TOUR;TRACK TOUR;RE"
"41155;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"41172;OTHERS;OTHERS;OTHR"
"41174;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"41177;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"41178;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"41179;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"41181;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41224;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"41235;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41236;COLLISION WITH OBSTACLE FOR TAKEOFF AND LANDING;COLLISION WITH OBSTACLE FOR TAKEOFF AND LANDING;CTOL"
"41252;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41272;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"41274;OTHERS;OTHERS;OTHR"
"41374;FLIGHT CONTROL IN LOSS;FLIGHT CONTROL IN LOSS;LOC-I"
"41375;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41376;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41377;BRUSH LANDING;CONTACT FREAK WITH TRACK | LANDING BRUSCO;ARC"
"41378;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41392;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"41393;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41394;WITH TO SCREEN / WINDOW / DOOR;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH TO SCREEN / WINDOW / DOOR;SCF-NP"
"41409;AIRCRAFT ACHIEVED BY OBJECT;OTHER | AIRCRAFT ACHIEVED BY OBJECT;OTHR"
"41411;TRACK TOUR;TRACK TOUR;RE"
"41411;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"41480;BRUSH LANDING;CONTACT FREAK WITH TRACK | LANDING BRUSCO;ARC"
"41481;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41482;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41484;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"41485;FAILURE OF MOTOR GROUND;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF MOTOR GROUND;SCF-PP"
"41487;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41488;FLIGHT CONTROL IN LOSS;FLIGHT CONTROL IN LOSS;LOC-I"
"41551;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"41552;OTHERS;OTHERS;OTHR"
"41553;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41569;LOSS OF CONTROL IN SOIL;LOSS OF CONTROL IN SOIL;LOC-G"
"41571;WITH TO SCREEN / WINDOW / DOOR;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH TO SCREEN / WINDOW / DOOR;SCF-NP"
"41573;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41574;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41577;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"41578;LANDING FLICKERLESS;CONTACT FREAK WITH TRACK | LANDING FLICKERLESS;ARC"
"41579;WITH LANDING TRAIN;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | WITH LANDING TRAIN;SCF-NP"
"41589;LEAK OTHER FLUIDS;OTHER | LEAK OTHER FLUIDS;OTHR"
"41591;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41592;FALSE ALARM FIRE OR OVERHEATING;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | FALSE ALARM FIRE OR OVERHEATING;SCF-NP"
"41595;FAILURE OF ENGINE IN FLIGHT;FAILURE OR IMPROPER ENGINE OPERATION | FAILURE OF ENGINE IN FLIGHT;SCF-PP"
"41609;COLLISION WITH AIRCRAFT ON GROUND;COLLISION IN SOIL | COLLISION WITH AIRCRAFT ON GROUND;GCOL"
"41610;OVERHEATING;FAILURE OR IMPROPER ENGINE OPERATION | OVERHEATING;SCF-PP"
"41629;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"41649;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41655;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT;SCF-NP"
"41661;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
"41664;BURST TIRE;FAILURE OR IMPROPER SYSTEM OPERATION / COMPONENT | BURST TIRE;SCF-NP"
"41665;COLLISION WITH BIRD;COLLISION WITH BIRD;BIRD"
